height velocity(m/s) Temperature(K)
0.0 0.0 293.0
0.5 4.56195257967 293.0
1.0 5.26886000246 293.0
1.5 5.68390544832 293.0
2.0 5.97881224335 293.0
2.5 6.20773930159 293.0
3.0 6.39487869633 293.0
3.5 6.55315656711 293.0
4.0 6.69029714056 293.0
4.5 6.81128661744 293.0
5.0 6.91953155595 293.0
5.5 7.01746283928 293.0
6.0 7.10687600887 293.0
6.5 7.18913503519 293.0
7.0 7.265300425 293.0
7.5 7.33621306089 293.0
8.0 7.40255094862 293.0
8.5 7.464868743 293.0
9.0 7.52362596672 293.0
9.5 7.57920759433 293.0
10.0 7.63193935358 293.0
10.5 7.68209929173 293.0
11.0 7.72992665027 293.0
11.5 7.77562876627 293.0
12.0 7.81938650467 293.0
12.5 7.86135858138 293.0
13.0 7.90168503848 293.0
13.5 7.94049006341 293.0
14.0 7.97788429548 293.0
14.5 8.0139667276 293.0
15.0 8.04882628565 293.0
15.5 8.08254314882 293.0
16.0 8.11518986043 293.0
16.5 8.14683226772 293.0
17.0 8.17753032145 293.0
17.5 8.20733875957 293.0
18.0 8.23630769455 293.0
18.5 8.26448312033 293.0
19.0 8.29190735157 293.0
19.5 8.31861940597 293.0
20.0 8.34465533809 293.0
20.5 8.37004853202 293.0
21.0 8.39482995873 293.0
21.5 8.41902840323 293.0
22.0 8.44267066553 293.0
22.5 8.46578173906 293.0
23.0 8.48838496952 293.0
23.5 8.51050219655 293.0
24.0 8.53215388062 293.0
24.5 8.55335921669 293.0
25.0 8.57413623654 293.0
25.5 8.59450190086 293.0
26.0 8.61447218242 293.0
26.5 8.63406214138 293.0
27.0 8.65328599349 293.0
27.5 8.67215717205 293.0
28.0 8.69068838432 293.0
28.5 8.70889166291 293.0
29.0 8.7267784127 293.0
29.5 8.74435945378 293.0
30.0 8.76164506074 293.0
30.5 8.77864499874 293.0
31.0 8.79536855663 293.0
31.5 8.81182457745 293.0
32.0 8.82802148651 293.0
32.5 8.84396731728 293.0
33.0 8.85966973532 293.0
33.5 8.87513606041 293.0
34.0 8.89037328705 293.0
34.5 8.90538810342 293.0
35.0 8.92018690907 293.0
35.5 8.93477583121 293.0
36.0 8.94916074002 293.0
36.5 8.96334726281 293.0
37.0 8.97734079719 293.0
37.5 8.99114652347 293.0
38.0 9.00476941613 293.0
38.5 9.01821425459 293.0
39.0 9.03148563327 293.0
39.5 9.04458797104 293.0
40.0 9.05752552004 293.0
40.5 9.07030237394 293.0
41.0 9.08292247574 293.0
41.5 9.0953896251 293.0
42.0 9.10770748514 293.0
42.5 9.11987958897 293.0
43.0 9.13190934572 293.0
43.5 9.14380004632 293.0
44.0 9.15555486886 293.0
44.5 9.16717688371 293.0
45.0 9.17866905834 293.0
45.5 9.19003426185 293.0
46.0 9.20127526929 293.0
46.5 9.2123947657 293.0
47.0 9.22339535001 293.0
47.5 9.23427953861 293.0
48.0 9.24504976888 293.0
48.5 9.25570840241 293.0
49.0 9.26625772815 293.0
49.5 9.27669996534 293.0
50.0 9.2870372663 293.0
50.5 9.29727171911 293.0
51.0 9.30740535016 293.0
